,facility,city,Code,website,href
78,casa,bogota,5423-M3474973,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-4-habitaciones-5-banos-4-garajes/5423-M3474973
79,casa,bogota,835-M3673867,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-la-buitrera-5-habitaciones-4-banos-4-garajes/835-M3673867
80,casa,bogota,860-M3577273,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-pance-3-habitaciones-4-banos-4-garajes/860-M3577273
81,casa,bogota,12515-M3348858,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ub-palmares-del-castillo-3-habitaciones-3-banos-2-garajes/12515-M3348858
82,casa,bogota,9947-M3816447,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-quintas-de-don-sima%C2%B3n-4-habitaciones-5-banos/9947-M3816447
83,casa,bogota,788-M3744707,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-sector-la-luisa-bella-suiza-4-habitaciones-3-banos-2-garajes/788-M3744707
84,casa,bogota,277-M3820402,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-prados-del-limonar-5-habitaciones-5-banos-4-garajes/277-M3820402
85,casa,bogota,788-M3820837,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-3-habitaciones-3-banos-3-garajes/788-M3820837
86,casa,bogota,277-M3815759,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-prados-del-limonar-5-habitaciones-5-banos-4-garajes/277-M3815759
87,casa,bogota,12515-M3273884,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-sur-ciudad-jardin-3-habitaciones-3-banos-3-garajes/12515-M3273884
